Name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
RCL-PRIYA CEMENT,4.1,(158 Reviews),"Hyderabad/Secunderabad,Telangana + 22 more",47 years old,"1001-5000
						employees
						(Global)",
Maxxis Rubber,3.5,(158 Reviews),"Ahmedabad,Gujarat + 9 more",6 years old,"501-1000
						employees
						(Global)",
Super Smelters,4.2,(158 Reviews),"Kolkata,West Bengal + 8 more",26 years old,"51-200
						employees
						(Global)",
Bharat Bijlee,4.1,(158 Reviews),Public,"Mumbai,Maharashtra + 14 more",75 years old,"1001-5000
						employees
						(Global)"
Elentec India,4.2,(158 Reviews),Private,"Hwasung City,South Korea + 11 more",39 years old,"11-50
						employees
						(India)"
Yalamanchili Softw...,3.5,(158 Reviews),Public,Chennai + 9 more,20 years old,"501-1000
						employees
						(Global)"
CK Birla Group,4.0,(158 Reviews),"Delhi/NCR,New Delhi + 33 more",159 years old,"10001-50000
						employees
						(India)",
NeoGrowth Credit,3.6,(158 Reviews),Private,"Mumbai,Maharashtra + 22 more",8 years old,"501-1000
						employees
						(India)"
Dineshchandra R Ag...,4.1,(158 Reviews),Private,"Ahmedabad,Gujarat + 26 more",49 years old,"1001-5000
						employees
						(Global)"
Satyam Venture Eng...,3.0,(158 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 3 more",21 years old,"1001-5000
						employees
						(Global)"
Tata Toyo Radiator,3.7,(158 Reviews),"Pune,Maharashtra + 8 more",23 years old,"1001-5000
						employees
						(Global)",
CK Birla Group,4.0,(158 Reviews),"Delhi/NCR,New Delhi + 33 more",159 years old,"10001-50000
						employees
						(India)",
Rheinmetall Automo...,4.0,(158 Reviews),Private,Neckarlsum + 13 more,112 years old,"10001-50000
						employees
						(Global)"
Onicra Credit Rati...,3.1,(158 Reviews),Public,"Delhi/NCR,New Delhi + 34 more",28 years old,"1001-5000
						employees
						(Global)"
Keihin India Manuf...,4.2,(158 Reviews),Tokyo + 8 more,65 years old,"51-200
						employees
						(India)",
Net Solutions,4.7,(158 Reviews),Sole Proprietorship,"Chandigarh,Haryana",21 years old,"201-500
						employees
						(India)"
Ukb Electronics,3.3,(158 Reviews),Private,"Noida,Uttar Pradesh + 8 more",25 years old,"501-1000
						employees
						(Global)"
BCH Electric,4.1,(158 Reviews),Private,"Delhi/NCR,New Delhi + 18 more",56 years old,"501-1000
						employees
						(Global)"
Aculife Healthcare,3.7,(158 Reviews),Private,"Ahmedabad,Gujrat + 15 more",7 years old,"1001-5000
						employees
						(Global)"
Cvent,3.5,(158 Reviews),Private,"McLean,Virginia + 1 more",22 years old,"1001-5000
						employees
						(India)"
URC Construction,3.7,(157 Reviews),Private,"Chennai,Tamil Nadu + 17 more",65 years old,"501-1000
						employees
						(Global)"
Bses Yamuna Power,3.5,(157 Reviews),New Delhi + 1 more,19 years old,"5001-10000
						employees
						(Global)",
North East Small F...,3.9,(157 Reviews),Private,"Guwahati,Assam + 30 more",5 years old,"1001-5000
						employees
						(Global)"
Central Institute ...,3.8,(157 Reviews),"Chennai,Tamil Nadu + 32 more",53 years old,"1001-5000
						employees
						(Global)",
Smart Value Produc...,4.4,(157 Reviews),Private,"Delhi/NCR,Delhi + 43 more",15 years old,"201-500
						employees
						(Global)"
Transrail Lighting,3.9,(157 Reviews),Private,"Mumbai,Maharashtra + 28 more",13 years old,"1001-5000
						employees
						(Global)"
Panasonic Life Sol...,4.1,(157 Reviews),Mumbai + 34 more,58 years old,"100001+
						employees
						(Global)",
HP India Sales,4.2,(157 Reviews),Private,Bengaluru + 27 more,24 years old,"501-1000
						employees
						(Global)"
Gulf Oil Lubricant...,4.3,(157 Reviews),Public,"Mumbai,Maharashtra + 39 more",28 years old,"51-200
						employees
						(Global)"
Global Hospital Pu...,4.1,(157 Reviews),Private,"Pune,Maharashtra + 12 more",9 years old,"201-500
						employees
						(Global)"
Military Engineer ...,4.5,(157 Reviews),"Delhi/NCR,Delhi + 41 more",98 years old,"5001-10000
						employees
						(Global)",
Windlas Biotech,3.7,(157 Reviews),Gurugram + 9 more,20 years old,"201-500
						employees
						(Global)",
Amrita Institute o...,4.4,(157 Reviews),Private,"Kochi/Cochin,Kerala + 10 more",23 years old,"1001-5000
						employees
						(Global)"
Srei Sahaj e-Villa...,3.9,(157 Reviews),Private,"Kolkata,West Bengal + 32 more",13 years old,"201-500
						employees
						(Global)"
Ralson India,3.7,(157 Reviews),Public,"Delhi/NCR,Delhi + 22 more",47 years old,"1001-5000
						employees
						(Global)"
South Indian Bank,3.9,(157 Reviews),Public,"Thrissur/Trichur,Kerala + 38 more",92 years old,"5001-10000
						employees
						(Global)"
Sundaram Business ...,3.8,(157 Reviews),Private,"Chennai,Tamil Nadu + 6 more",20 years old,"1001-5000
						employees
						(Global)"
RMC Readymix,4.0,(157 Reviews),Private,"Mumbai,Maharashtra + 36 more",25 years old,"1001-5000
						employees
						(Global)"
Kolte Patil Develo...,4.1,(157 Reviews),Public,"Pune,Maharashtra + 4 more",30 years old,"501-1000
						employees
						(Global)"
Škoda Auto India,4.4,(157 Reviews),"Aurangabad,Maharashtra + 31 more",20 years old,"501-1000
						employees
						(Global)",
Aurionpro Solution...,4.1,(157 Reviews),Public,"Mumbai,Maharashtra + 21 more",24 years old,"1001-5000
						employees
						(Global)"
Tirumala Milk Prod...,3.9,(157 Reviews),"Chennai,Tamil Nadu + 22 more",25 years old,"501-1000
						employees
						(Global)",
Aurionpro Solution...,4.1,(157 Reviews),Public,"Mumbai,Maharashtra + 21 more",24 years old,"1001-5000
						employees
						(Global)"
Anu Industries,3.6,(156 Reviews),Private,"Delhi/NCR,New Delhi + 9 more",47 years old,"201-500
						employees
						(Global)"
Sunil Hitech Engin...,3.6,(156 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 23 more",23 years old,"1001-5000
						employees
						(Global)"
Satya MicroCapital,4.0,(156 Reviews),"New Delhi,Delhi + 57 more",4 years old,"1001-5000
						employees
						(India)",
LT Foods,4.3,(156 Reviews),Public,"Gurgaon/Gurugram,Haryana + 28 more",31 years old,"201-500
						employees
						(India)"
Practo,3.7,(156 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 15 more",13 years old,"5001-10000
						employees
						(Global)"
NAFFCO,3.9,(156 Reviews),Private,"Dubai,Dubai + 14 more",30 years old,"10001-50000
						employees
						(Global)"
GE Capital,4.2,(156 Reviews),Private,Norwalk + 10 more,89 years old,"5001-10000
						employees
						(Global)"
Vectus Industries,4.2,(156 Reviews),Private,"Noida,Uttar Pradesh + 29 more",17 years old,"1001-5000
						employees
						(India)"
Talbros Automotive...,3.9,(156 Reviews),Public,"Gurgaon/Gurugram,Haryana + 11 more",65 years old,"5001-10000
						employees
						(Global)"
Saudi Electricity ...,4.5,(156 Reviews),Private,"Riyadh,Riyadh + 13 more",21 years old,"10001-50000
						employees
						(Global)"
Drydocks World Dub...,4.4,(156 Reviews),"Dubai,Dubai + 11 more",38 years old,"10001-50000
						employees
						(Global)",
Samunnati,4.5,(156 Reviews),Private,"Chennai,Tamil Nadu + 31 more",7 years old,"501-1000
						employees
						(India)"
Health Total,2.3,(156 Reviews),Private,"Mumbai,Maharashtra + 9 more",24 years old,"201-500
						employees
						(Global)"
Claris Lifescience...,4.1,(156 Reviews),Public,"Ahmedabad,Gujrat + 16 more",22 years old,"1001-5000
						employees
						(India)"
Puravankara Projec...,4.1,(155 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",46 years old,"1001-5000
						employees
						(Global)"
HRH Next Services,3.4,(155 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 1 more",14 years old,"1001-5000
						employees
						(Global)"
GoAir,3.3,(155 Reviews),"Mumbai,Maharashtra + 25 more",16 years old,"1001-5000
						employees
						(Global)",
HPM Chemicals & Fe...,4.7,(155 Reviews),Private,New Delhi + 29 more,44 years old,"501-1000
						employees
						(Global)"
Madura Micro Finan...,4.2,(155 Reviews),Private,"Chennai,Tamil Nadu + 43 more",15 years old,"1001-5000
						employees
						(India)"
Elico Healthcare S...,3.0,(155 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 1 more",22 years old,"1001-5000
						employees
						(Global)"
Metro Hospital & H...,3.7,(155 Reviews),Noida + 14 more,24 years old,"1001-5000
						employees
						(Global)",
PayPal,4.3,(155 Reviews),Private,"San Jose,California + 5 more",23 years old,"1001-5000
						employees
						(India)"
Focus Energy,3.5,(155 Reviews),Private,"Gurgaon/Gurugram,Haryana + 8 more",35 years old,"1001-5000
						employees
						(Global)"
Accelya Solutions ...,3.3,(155 Reviews),Private,"Mumbai,Maharashtra + 6 more",45 years old,"1001-5000
						employees
						(India)"
Health Care Global...,3.4,(154 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 24 more",32 years old,"1001-5000
						employees
						(Global)"
ITCONS e-Solutions,3.2,(154 Reviews),Private,"Noida,Uttar Pradesh + 52 more",14 years old,"1001-5000
						employees
						(Global)"
Park Hospital,3.8,(154 Reviews),"Gurgaon/Gurugram,Haryana + 10 more",39 years old,"501-1000
						employees
						(Global)",
Blackrock,3.9,(154 Reviews),Private,"New York City,New York + 5 more",33 years old,"1001-5000
						employees
						(India)"
NVH India Auto Par...,3.4,(154 Reviews),"Buk-gu,Ulsan + 7 more",37 years old,"201-500
						employees
						(India)",
IVTL Infoview Tech...,3.1,(154 Reviews),Private,"Chennai,Tamil Nadu",21 years old,"501-1000
						employees
						(Global)"
Hotel Park Plaza,4.0,(154 Reviews),Private,London + 16 more,35 years old,"5001-10000
						employees
						(Global)"
ITCONS e-Solutions,3.2,(154 Reviews),Private,"Noida,Uttar Pradesh + 52 more",14 years old,"1001-5000
						employees
						(Global)"
Barista Coffee Com...,4.2,(154 Reviews),Private,"Delhi/NCR,New Delhi + 22 more",22 years old,"1001-5000
						employees
						(Global)"
Syrma Technology,4.1,(154 Reviews),Private,"Chennai,Tamil Nadu + 6 more",17 years old,"201-500
						employees
						(India)"
Mahindra Insurance...,4.2,(154 Reviews),Private,"Mumbai,Maharashtra + 53 more",34 years old,"1001-5000
						employees
						(India)"
Ksb Pumps,4.2,(154 Reviews),Private,"Frankenthal,Rhineland-Palatinate + 23 more",150 years old,"10001-50000
						employees
						(Global)"
Family Health Plan,4.2,(154 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 14 more",26 years old,"1001-5000
						employees
						(Global)"
Polyplastics Indus...,4.0,(154 Reviews),Private,Tokyo + 12 more,51 years old,"1001-5000
						employees
						(Global)"
GSP Crop Science,3.9,(154 Reviews),Private,"Ahmedabad,Gujarat + 19 more",36 years old,"501-1000
						employees
						(Global)"
Health Care Global...,3.4,(154 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 24 more",32 years old,"1001-5000
						employees
						(Global)"
Deloitte Touche Ae...,3.7,(154 Reviews),"Bangalore/Bengaluru,Karnataka + 13 more",11 years old,"5001-10000
						employees
						(Global)",
Webhelp,4.0,(154 Reviews),Paris + 2 more,21 years old,"501-1000
						employees
						(India)",
Netlink Software,3.6,(154 Reviews),Madison Heights + 13 more,23 years old,"1001-5000
						employees
						(Global)",
Zen3 Info Solution...,3.6,(153 Reviews),Private,"Redmond,Washington + 2 more",18 years old,"501-1000
						employees
						(India)"
NetAmbit,3.6,(153 Reviews),Private,"Noida,Uttar Pradesh + 29 more",21 years old,"1001-5000
						employees
						(Global)"
IndianMoney.com,3.4,(153 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",13 years old,"201-500
						employees
						(Global)"
Integra Software S...,3.7,(153 Reviews),Private,Pondicherry + 6 more,27 years old,"1001-5000
						employees
						(Global)"
Cargo Motors,4.2,(153 Reviews),Private,"Ahmedabad,Gujrat + 20 more",62 years old,"1001-5000
						employees
						(Global)"
Pmkvy,4.0,(153 Reviews),"Delhi/NCR,Delhi + 65 more",6 years old,"10000+
						employees
						(Global)",
Apollo Clinic,4.1,(153 Reviews),Hyderabad + 27 more,19 years old,"501-1000
						employees
						(Global)",
Munjal Kiriu Indus...,3.7,(153 Reviews),Private,"Gurgaon/Gurugram,Haryana + 3 more",65 years old,"501-1000
						employees
						(Global)"
Ramkrishna Forging...,3.8,(153 Reviews),Public,"Kolkata,West Bengal + 8 more",40 years old,"1001-5000
						employees
						(Global)"
Kraft Heinz Compan...,4.1,(153 Reviews),Private,"Mumbai,Maharashtra + 25 more",6 years old,"10001-50000
						employees
						(Global)"
Symbiotec Pharmala...,3.6,(153 Reviews),Private,"Indore,Madhya Pradesh + 3 more",27 years old,"1001-5000
						employees
						(Global)"
Sata Vikas India,3.5,(153 Reviews),JV,"Aurangabad,Maharashtra + 7 more",14 years old,"1001-5000
						employees
						(Global)"
Vision Express,4.2,(153 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 25 more",13 years old,"501-1000
						employees
						(Global)"
Roquette Riddhi Si...,3.9,(153 Reviews),Lestrem + 8 more,88 years old,"1001-5000
						employees
						(India)",
Rupeek Fintech Pvt...,3.8,(153 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 20 more",6 years old,"1001-5000
						employees
						(Global)"
PTC,4.0,(153 Reviews),Public,"Boston,Massachusetts + 14 more",36 years old,"51-200
						employees
						(India)"
Nilons Enterprises,4.0,(152 Reviews),Private,"Pune,Maharashtra + 20 more",59 years old,"1001-5000
						employees
						(Global)"
Magic Bus India Fo...,4.0,(152 Reviews),Private,"Mumbai,Maharashtra + 27 more",22 years old,"1001-5000
						employees
						(India)"
Nlb Services,3.5,(152 Reviews),Private,"Alpharetta,Georgia + 11 more",14 years old,"1001-5000
						employees
						(Global)"
Bluechip Corporate...,3.9,(152 Reviews),"Mumbai,Maharashtra + 49 more",25 years old,"1001-5000
						employees
						(Global)",
Concorde Motors,4.3,(152 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 11 more",49 years old,"501-1000
						employees
						(Global)"
Shree Baidyanath A...,3.4,(152 Reviews),Private,"Allahabad/Prayagraj,Uttar Pradesh + 25 more",104 years old,"1001-5000
						employees
						(Global)"
Himatsingka Seide,3.9,(152 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 5 more",36 years old,"1001-5000
						employees
						(Global)"
Clariant Chemicals,4.2,(152 Reviews),Public,"Muttenz,Bael-Country + 14 more",26 years old,"501-1000
						employees
						(India)"
MIOT INTERNATIONAL,3.7,(152 Reviews),"Chennai,Tamil Nadu + 3 more",22 years old,"1001-5000
						employees
						(Global)",
Henkel Adhesives T...,4.4,(152 Reviews),Private,"Düsseldorf,North Rhine-Westphalia + 14 more",31 years old,"501-1000
						employees
						(India)"
SML Isuzu,4.0,(152 Reviews),Public,"Chandigarh,Chandigarh + 23 more",36 years old,"501-1000
						employees
						(Global)"
ACB (India),3.9,(152 Reviews),Public,"Gurgaon/Gurugram,Haryana + 11 more",24 years old,"501-1000
						employees
						(Global)"
Infrasoft Technolo...,3.2,(152 Reviews),Private,"Mumbai,Maharashtra + 4 more",26 years old,"1001-5000
						employees
						(Global)"
Sharda University,3.8,(152 Reviews),Private,Greater Noida + 8 more,12 years old,"1001-5000
						employees
						(Global)"
LogixHealth,3.4,(151 Reviews),Private,"Bedford,Massachusetts + 4 more",31 years old,"501-1000
						employees
						(Global)"
Treebo Hotels,3.9,(151 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 21 more",6 years old,"501-1000
						employees
						(India)"
Writer Corporation,3.7,(151 Reviews),Private,"Mumbai,Maharashtra + 30 more",68 years old,"5001-10000
						employees
						(Global)"
Waaree Energies,3.7,(151 Reviews),Private,"Mumbai,Maharashtra + 17 more",32 years old,"1001-5000
						employees
						(Global)"
Bonfiglioli Transm...,3.5,(151 Reviews),Private,"Lippo Di Calderara Di Reno,Bologna + 7 more",65 years old,"51-200
						employees
						(India)"
Pearl Global Indus...,4.0,(151 Reviews),Public,"Gurgaon/Gurugram,Haryana + 7 more",34 years old,"1001-5000
						employees
						(Global)"
Nuziveedu Seeds,4.3,(151 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 33 more",48 years old,"1001-5000
						employees
						(Global)"
IndiaCan,4.5,(151 Reviews),Private,"Noida,Uttar Pradesh + 40 more",13 years old,"501-1000
						employees
						(Global)"
FieldFresh Foods,4.2,(151 Reviews),Private,"Gurgaon/Gurugram,Haryana + 22 more",17 years old,"201-500
						employees
						(India)"
Cadsys,4.6,(151 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 1 more",32 years old,"501-1000
						employees
						(Global)"
Modi Mundi Pharma,3.6,(151 Reviews),Private,"Delhi/NCR,Delhi + 31 more",31 years old,"5001-10000
						employees
						(Global)"
Samvardhana Mother...,4.1,(151 Reviews),Noida + 17 more,46 years old,"10001-50000
						employees
						(India)",
Acadecraft,3.1,(151 Reviews),"Noida,Uttar Pradesh + 5 more",10 years old,"201-500
						employees
						(Global)",
Dynacons Systems &...,3.6,(151 Reviews),Private,"Mumbai,Maharashtra + 29 more",26 years old,"1001-5000
						employees
						(Global)"
VISA Steel,4.0,(151 Reviews),Public,"Bhubaneswar,Odisha + 10 more",25 years old,"501-1000
						employees
						(Global)"
Modi Mundi Pharma,3.6,(151 Reviews),Private,"Delhi/NCR,Delhi + 31 more",31 years old,"5001-10000
						employees
						(Global)"
Jamshedpur Utiliti...,4.0,(151 Reviews),Public,Jamshedpur + 7 more,17 years old,"51-200
						employees
						(Global)"
Northcorp Software,4.7,(151 Reviews),Private,"Gurgaon/Gurugram,Haryana + 5 more",6 years old,"51-200
						employees
						(India)"
